compound_id	smiles	chem_name	mw
30	CCOC(=O)C1=C(C)N(c2ccccc2)C(=S)NC1c1ccc(C)cc1	ethyl 6-methyl-4-(4-methylphenyl)-1-phenyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	366.48
31	COc1cccc(N2C(=S)NC(c3ccccc3Cl)C(C(=O)Nc3cc(C)on3)=C2C)c1	4-(2-chlorophenyl)-1-(3-methoxyphenyl)-6-methyl-N-(5-methyl-1,2-oxazol-3-yl)-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxamide	468.96
32	CCOC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1ccc(O)cc1		
33	CC(=O)Nc1ccc(C2NC(=S)N(c3ccc(F)cc3)C(C)=C2C(=O)Nc2cc(C)on2)cc1		
34	COc1ccc(N2C(=S)NC(c3ccc(F)cc3)C(C(=O)OC(C)C)=C2C)cc1OC		
35	CC1=C(C(=O)N(C)C)C(c2ccc(OCC3CCCO3)cc2)NC(=S)N1c1ccc(C)c(F)c1	1-(3-fluoro-4-methylphenyl)-N,N,6-trimethyl-4-{4-[(oxolan-2-yl)methoxy]phenyl}-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxamide	483.60
36	COC(=O)C1=C(C)NC(=S)NC1c1ccc(NC(C)=O)cc1		
37	COCCN1C(=S)NC(c2cccc(F)c2)C(C(=O)Nc2cc(C)on2)=C1C		
38	CC1=C(C(=O)N2CCOCC2)C(c2ccc(OC(F)F)cc2)NC(=S)N1c1ccccc1		
39	COC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1ccccc1	methyl 1-(2,3-dihydro-1,4-benzodioxin-6-yl)-6-methyl-4-phenyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	396.46
40	COC(=O)C1=C(C)N(c2cccc(OC)c2)C(=S)NC1c1ccc(C(=O)OC)cc1		
41	CC1=C(C(=O)N(C)C)C(c2ccccc2)NC(=S)N1c1ccc2c(c1)OCCO2		
42	CCOC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1ccccc1	ethyl 1-(2,3-dihydro-1,4-benzodioxin-6-yl)-6-methyl-4-phenyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	410.49
43	COC(=O)C1=C(C)N(c2ccc(F)cc2)C(=S)NC1c1ccc(C(=O)O)cc1	4-[1-(4-fluorophenyl)-5-(methoxycarbonyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidin-4-yl]benzoic acid	400.43
44	COc1cc(OC)c(C2NC(=S)N(c3ccccc3)C(C)=C2C(=O)Nc2cc(C)on2)c(OC)c1		
45	COCCOC(=O)C1=C(C)NC(=S)NC1c1cccc2ccccc12	2-methoxyethyl 6-methyl-4-(naphthalen-1-yl)-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	356.44
46	CNC(=O)C1=C(C)N(c2ccc(Cl)cc2)C(=S)NC1c1c(F)cccc1F		
47	CCN(CC)C(=O)C1=C(C)NC(=S)NC1c1ccc(OC)c(OC)c1		
48	CNC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=S)NC1c1ccccc1OC(F)F		
